INFO 2024-05-28 20:34:34,349 autoreload 578 Watching for file changes with StatReloader
INFO 2024-05-28 20:34:59,918 autoreload 578 Watching for file changes with StatReloader
INFO 2024-05-28 20:35:04,107 urls 30 info
INFO 2024-05-28 20:35:04,110 basehttp 154 "GET / HTTP/1.1" 200 4
INFO 2024-05-28 20:36:16,915 autoreload 203 D:\coder\Pycharm\Django_Blog\blog\settings.py changed, reloading.
INFO 2024-05-28 20:36:18,131 autoreload 578 Watching for file changes with StatReloader
INFO 2024-05-28 20:36:50,801 autoreload 578 Watching for file changes with StatReloader
INFO 2024-05-28 20:38:50,536 autoreload 203 D:\coder\Pycharm\Django_Blog\blog\settings.py changed, reloading.
INFO 2024-05-28 20:38:51,449 autoreload 578 Watching for file changes with StatReloader
INFO 2024-05-28 20:39:09,685 autoreload 203 D:\coder\Pycharm\Django_Blog\blog\settings.py changed, reloading.
INFO 2024-05-28 20:39:10,472 autoreload 578 Watching for file changes with StatReloader
INFO 2024-05-28 20:40:04,377 autoreload 203 D:\coder\Pycharm\Django_Blog\blog\settings.py changed, reloading.
INFO 2024-05-28 20:40:05,248 autoreload 578 Watching for file changes with StatReloader
INFO 2024-05-28 20:44:17,929 autoreload 203 D:\coder\Pycharm\Django_Blog\blog\urls.py changed, reloading.
INFO 2024-05-28 20:44:18,695 autoreload 578 Watching for file changes with StatReloader
INFO 2024-05-28 20:45:01,335 autoreload 578 Watching for file changes with StatReloader
WARNING 2024-05-28 20:45:12,509 log 228 Not Found: /registser
WARNING 2024-05-28 20:45:12,510 basehttp 154 "GET /registser HTTP/1.1" 404 2137
WARNING 2024-05-28 20:45:17,311 log 228 Not Found: /regisster
WARNING 2024-05-28 20:45:17,312 basehttp 154 "GET /regisster HTTP/1.1" 404 2137
INFO 2024-05-28 20:45:22,671 basehttp 154 "GET /register HTTP/1.1" 301 0
INFO 2024-05-28 20:45:22,700 basehttp 154 "GET /register/ HTTP/1.1" 200 5217
INFO 2024-05-28 20:48:37,129 autoreload 578 Watching for file changes with StatReloader
INFO 2024-05-28 20:48:40,646 basehttp 154 "GET /register/ HTTP/1.1" 200 5208
INFO 2024-05-28 20:48:41,636 basehttp 154 "GET /register/ HTTP/1.1" 200 5208
INFO 2024-05-28 20:48:42,378 basehttp 154 "GET /register/ HTTP/1.1" 200 5208
INFO 2024-05-28 20:48:49,547 basehttp 154 "GET /register/ HTTP/1.1" 200 5208
INFO 2024-05-28 20:48:49,623 basehttp 154 "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140942
INFO 2024-05-28 20:48:49,625 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2024-05-28 20:48:49,625 basehttp 154 "GET /static/img/image_code.png HTTP/1.1" 200 3483
INFO 2024-05-28 20:48:49,627 basehttp 154 "GET /static/js/host.js HTTP/1.1" 200 35
INFO 2024-05-28 20:48:49,628 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2024-05-28 20:48:49,737 basehttp 154 "GET /static/js/common.js HTTP/1.1" 200 891
INFO 2024-05-28 20:48:49,747 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 6407
INFO 2024-05-28 20:50:17,938 autoreload 203 D:\coder\Pycharm\Django_Blog\users\models.py changed, reloading.
INFO 2024-05-28 20:50:18,848 autoreload 578 Watching for file changes with StatReloader
INFO 2024-05-28 20:50:34,073 autoreload 203 D:\coder\Pycharm\Django_Blog\users\models.py changed, reloading.
INFO 2024-05-28 20:50:34,848 autoreload 578 Watching for file changes with StatReloader
INFO 2024-05-28 20:52:56,864 autoreload 203 D:\coder\Pycharm\Django_Blog\blog\settings.py changed, reloading.
INFO 2024-05-28 20:52:57,665 autoreload 578 Watching for file changes with StatReloader
INFO 2024-05-29 17:41:52,857 autoreload 578 Watching for file changes with StatReloader
INFO 2024-05-29 17:41:57,652 basehttp 154 "GET /register/ HTTP/1.1" 200 5208
INFO 2024-05-29 17:41:58,610 basehttp 154 "GET /register/ HTTP/1.1" 200 5208
INFO 2024-05-29 17:41:59,694 basehttp 154 "GET /register/ HTTP/1.1" 200 5208
INFO 2024-05-29 17:42:00,596 basehttp 154 "GET /register/ HTTP/1.1" 200 5208
INFO 2024-05-29 17:55:50,097 autoreload 203 D:\coder\Pycharm\Django_Blog\users\views.py changed, reloading.
INFO 2024-05-29 17:55:50,744 autoreload 578 Watching for file changes with StatReloader
INFO 2024-05-29 18:05:29,706 autoreload 578 Watching for file changes with StatReloader
INFO 2024-05-29 18:05:33,925 basehttp 154 "GET /register/ HTTP/1.1" 200 5208
INFO 2024-05-29 18:06:41,625 autoreload 578 Watching for file changes with StatReloader
INFO 2024-05-29 18:06:58,193 basehttp 154 "GET /imagecode/?uuid=123 HTTP/1.1" 200 2788
INFO 2024-05-29 18:07:00,395 basehttp 154 "GET /imagecode/?uuid=123 HTTP/1.1" 200 3204
INFO 2024-05-29 18:07:01,733 basehttp 154 "GET /imagecode/?uuid=123 HTTP/1.1" 200 3033
INFO 2024-05-29 18:09:05,483 autoreload 578 Watching for file changes with StatReloader
INFO 2024-05-29 18:09:11,742 basehttp 154 "GET /register/ HTTP/1.1" 200 5197
INFO 2024-05-29 18:09:12,614 basehttp 154 "GET /imagecode/?uuid=6dd0afe2-879a-466f-b309-c9408bc194c8 HTTP/1.1" 200 3361
INFO 2024-05-29 18:09:13,667 basehttp 154 "GET /register/ HTTP/1.1" 200 5197
